household_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
551;all;some;3;1;1187.6780622958643;551
1074234;all;all;1;2;6594.8596433414805;1074234
1417562;all;all;3;2;2486.6971655229218;1417562
606;all;some;2;1;5593.452478168901;606
1270;some;some;2;1;4602.897093662217;1270
1790;some;some;1;2;5951.753973623614;1790
668;all;none;2;0;2437.288883504334;668
768;all;all;3;3;3815.60254452777;768
4281;some;some;1;2;4222.5114650943215;4281
14937;all;some;3;2;4373.167626813032;14937
17875;all;some;3;2;4608.9850323305345;17875
53233;some;some;1;2;5632.938032008651;53233
81130;some;some;2;2;5530.357119648984;81130
99592;all;some;2;2;5557.5374625147115;99592
100500;some;some;2;2;8647.19897655738;100500
120936;all;some;2;2;4299.872011322664;120936
129064;all;all;3;2;4505.729501756462;129064
129171;all;all;1;2;5187.746041391047;129171
143183;all;some;2;2;4358.754205567453;143183
177466;all;some;3;2;4352.510328837225;177466
177588;all;all;2;2;5667.1895076147175;177588
192574;all;all;1;2;4591.721982442754;192574
208334;some;some;2;2;4580.947914380145;208334
216448;all;all;1;2;4068.6939606097303;216448
229595;all;all;1;2;4392.0768476902085;229595
238644;all;some;1;2;4678.286889431031;238644
306050;all;some;1;2;5669.602489508165;306050
306811;all;some;2;2;5145.970297498105;306811
307259;all;some;2;2;4061.734466764553;307259
311741;all;some;2;2;4770.499057567356;311741
338189;all;all;1;2;5843.356319294175;338189
339189;all;some;1;2;4061.718441780185;339189
143004;some;some;1;1;4811.888613056883;143004
155791;all;some;3;1;1906.1102222619738;155791
158618;some;some;1;1;4238.071645586132;158618
192593;all;some;3;1;5960.000380428082;192593
239864;some;some;2;1;6678.125778837437;239864
278975;some;some;2;1;4649.118706724871;278975
310657;all;some;1;1;4843.305966935813;310657
338558;all;some;1;1;5923.961464719928;338558
8454;all;some;3;2;4279.028477046651;8454
14021;some;some;3;2;4577.329890347863;14021
50806;all;some;2;2;4425.891802389143;50806
60734;all;some;3;2;5531.398839637177;60734
79802;all;some;1;2;4471.895617741934;79802
80685;some;some;1;2;5269.274664708666;80685
88580;some;some;1;2;6120.031184707901;88580
97134;some;some;3;2;5891.902226952764;97134
121959;all;all;2;2;5378.472691112189;121959
122131;some;some;2;2;4237.40264556816;122131
142032;some;some;1;2;5346.444000423227;142032
148082;some;some;1;2;4280.338672679314;148082
236916;all;all;2;2;1818.770342727324;236916
237104;some;some;1;2;5207.88337282754;237104
237953;some;some;1;2;7152.386844350869;237953
246668;all;all;2;2;4623.256281714188;246668
251755;some;some;1;2;7013.00175958005;251755
296924;all;some;1;2;5066.286973433336;296924
309064;all;some;2;2;5368.79923273784;309064
316555;all;all;2;2;4803.395711979909;316555
338167;all;some;2;2;4570.478479854935;338167
371909;all;all;3;2;4833.332329917055;371909
14599;all;all;2;3;5207.216349823765;14599
25736;all;all;3;3;5974.905660437531;25736
38546;all;all;1;3;5453.965403480604;38546
88165;all;some;3;3;5436.134675287147;88165
97033;some;some;1;3;4760.572734263047;97033
99694;some;all;1;3;4185.536906436634;99694
100566;some;some;1;3;4173.208295302471;100566
100894;some;some;2;3;4081.2395583425023;100894
101276;some;some;1;3;5595.28524508844;101276
142946;all;all;2;3;4531.542597295912;142946
148511;some;all;1;3;5329.493748445831;148511
156804;some;some;1;3;4526.498342755912;156804
184032;all;all;3;3;5623.922984111889;184032
196315;some;all;1;3;5676.102641872247;196315
196841;some;some;2;3;5167.86767123215;196841
205638;some;some;1;3;5406.778118811593;205638
206642;some;some;2;3;5303.538208763815;206642
217912;all;some;2;3;5821.844039042931;217912
229147;some;all;1;3;4096.875317873705;229147
238310;all;all;1;3;1964.2710162773028;238310
238902;some;all;1;3;5029.995883865889;238902
245126;some;all;1;3;5231.723594717136;245126
279100;some;all;1;3;5652.15371654391;279100
297478;all;all;1;3;4457.039981807416;297478
308039;some;all;1;3;5449.693279912575;308039
317273;all;all;2;3;5540.353117588276;317273
339042;all;all;2;3;4601.388579574426;339042
1303;all;none;1;0;5553.038631539004;1303
111468;none;none;0;0;8515.218700144134;111468
164455;none;none;0;0;2734.705216769961;164455
290957;none;none;0;0;8634.651572109722;290957
306202;none;none;0;0;9457.629199792755;306202
349663;none;none;0;0;1648.4954385430685;349663
1313;all;some;2;2;3794.324539573751;1313
40214;all;all;1;3;3151.0555508428797;40214
88926;all;all;1;3;3458.9231699808292;88926
99906;all;some;3;3;6574.818409696483;99906
195683;some;all;1;3;7480.7371350116155;195683
202696;all;all;1;3;3874.281374553759;202696
242765;all;all;1;3;3800.5377545147494;242765
251570;some;some;2;3;3555.298532037793;251570
297046;some;all;1;3;3965.1843429659707;297046
324249;some;all;1;3;3226.6831126295283;324249
372148;all;some;2;3;8082.999338736667;372148
87243;all;all;1;3;3908.430081321774;87243
97297;all;all;2;3;3749.9413710279923;97297
111211;all;some;2;3;6618.604366171314;111211
122097;some;some;1;3;3090.634698251082;122097
165796;all;all;2;3;635.5076997030436;165796
203288;some;some;1;3;3375.506403282207;203288
237301;some;all;1;3;3012.06929073501;237301
238237;some;all;1;3;3746.095203674944;238237
240211;all;all;1;3;3228.531709441675;240211
309353;all;all;1;3;3309.099878400334;309353
10218;all;none;1;0;3864.5164626358765;10218
53471;some;none;1;0;3691.1400979970354;53471
237043;all;none;1;0;3354.7762721260415;237043
246244;some;none;1;0;3332.594657225945;246244
1413;all;all;1;3;3605.123300082959;1413
1502;all;some;3;2;3514.4978812942627;1502
27439;some;some;1;2;3832.939156466323;27439
32206;all;some;3;2;3621.666012819347;32206
50671;all;some;2;2;3907.334833560217;50671
66023;some;some;2;2;18474.712353397143;66023
66094;all;some;3;2;3972.441642240748;66094
66903;some;some;1;2;3618.0769413037556;66903
67332;all;all;2;2;3182.1334208695926;67332
69560;all;all;1;2;3609.0301189887123;69560
73530;some;some;1;2;6401.35451515982;73530
75915;all;all;1;2;3372.969961662001;75915
146963;all;all;3;2;3102.461553278817;146963
168135;all;all;1;2;3451.8806285399123;168135
172873;all;all;3;2;3193.061170339431;172873
210429;some;some;2;2;7482.8803820673775;210429
231632;all;some;2;2;3885.227666297445;231632
233370;all;all;1;2;314.1910342017325;233370
248466;all;all;2;2;3534.8739322683364;248466
249456;all;all;2;2;3784.8716102649296;249456
250470;some;some;1;2;7870.7990103405555;250470
255374;some;some;1;2;15170.192631528898;255374
257338;some;some;1;2;3625.4827020243147;257338
257944;all;some;2;2;580.1701545199398;257944
258015;some;some;3;2;9625.5118222331;258015
261424;all;some;2;2;3052.316676611541;261424
282298;all;all;2;2;3402.4400289874984;282298
284389;some;all;1;2;3388.719794457018;284389
301377;all;all;2;2;3193.1244905596727;301377
328894;all;all;3;2;3066.305266146953;328894
361890;some;all;1;2;3060.5579894267566;361890
374862;all;all;2;2;3468.7397725154196;374862
2507;all;some;1;1;3011.971325903685;2507
11504;all;some;1;1;3514.423338513685;11504
15500;all;some;2;1;3794.907098786437;15500
25484;all;some;2;1;3930.172963111468;25484
37322;all;some;3;1;3841.700750120454;37322
59920;all;some;1;1;3614.0879252964896;59920
67768;some;some;1;1;3892.4557453093307;67768
75119;all;some;1;1;3941.087367880706;75119
75563;some;some;1;1;3858.589378284232;75563
76071;all;some;1;1;3203.365451312766;76071
83086;some;some;1;1;3107.026623537601;83086
85371;all;some;2;1;3519.9135001348877;85371
90897;all;some;1;1;3226.215952652359;90897
104981;all;some;1;1;3616.765299387978;104981
139172;all;some;3;1;677.2437130568768;139172
146018;all;some;2;1;3440.4785739393865;146018
167999;all;some;2;1;3209.7986545043996;167999
173323;all;all;1;1;3076.627756379113;173323
177082;all;some;1;1;8712.220795736355;177082
212051;all;some;2;1;3693.0261172872574;212051
215647;all;some;1;1;3041.5597474467813;215647
218435;some;some;1;1;6012.262275433788;218435
219630;some;some;2;1;11121.066098345162;219630
224480;all;some;2;1;10305.757731291069;224480
247377;all;some;3;1;3248.464584999806;247377
248438;some;some;1;1;6499.760538656326;248438
265024;all;some;2;1;3411.3172204391262;265024
266824;all;some;1;1;3210.700380125276;266824
269904;all;some;2;1;3871.0314054342207;269904
282928;all;some;1;1;3469.5831482381855;282928
328871;all;some;3;1;3787.16077104772;328871
329052;all;some;2;1;3103.593152125889;329052
379767;all;all;3;1;3216.679764794066;379767
414560;none;none;0;0;4044.4662334257914;414560
430498;none;none;0;0;11949.911465921543;430498
437485;none;none;0;0;10216.689704022245;437485
444049;none;none;0;0;7280.18261141629;444049
497786;none;none;0;0;2786.1897017724655;497786
578842;none;none;0;0;3406.9154693750042;578842
616506;none;none;0;0;4935.762051946822;616506
642189;none;none;0;0;12732.777994722559;642189
763690;none;none;0;0;2465.7049192969257;763690
788727;none;none;0;0;6225.291805995119;788727
811246;none;none;0;0;2217.122597857922;811246
