person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
860;551;Y10-14;False;female;NAP;False;False;860;22511
888;551;Y10-14;False;female;NAP;False;False;888;43023
2648764;1074234;Y5-9;False;female;NAP;False;False;2648764;43023
2648755;1074234;Y5-9;False;female;NAP;False;False;2648755;39514
3742457;1417562;Y_LT5;False;female;NAP;False;False;3742457;43023
1001;606;Y10-14;False;female;NAP;False;False;1001;37481
1003;606;Y10-14;False;female;NAP;False;False;1003;43283
1909;606;Y10-14;False;male;NAP;False;False;1909;38798
2177;1270;Y10-14;False;female;NAP;False;False;2177;37481
411790;1270;Y25-29;True;male;A;False;True;411790;34768
578336;1270;Y25-29;True;male;N;True;False;578336;40255
773558;1270;Y25-29;False;male;NAP;True;False;773558;37593
784337;1270;Y25-29;True;male;C;True;True;784337;48459
2989;1790;Y10-14;False;male;NAP;False;False;2989;38798
3595074;1790;Y65-69;False;female;NAP;True;False;3595074;16018
3608120;1790;Y65-69;False;female;NAP;True;False;3608120;45065
1104;668;Y10-14;False;female;NAP;False;False;1104;6406
1117;668;Y10-14;False;female;NAP;False;False;1117;21919
1314;768;Y10-14;False;female;NAP;False;False;1314;24637
1317;768;Y10-14;False;female;NAP;False;False;1317;22955
5716;4281;Y15-19;False;male;N;False;True;5716;34768
2333244;4281;Y45-49;False;female;O;True;False;2333244;27301
2600781;4281;Y45-49;True;female;G;True;False;2600781;28664
18892;14937;Y15-19;False;male;NAP;False;True;18892;34768
19182;14937;Y15-19;False;male;NAP;False;True;19182;27829
2634964;14937;Y45-49;False;female;S;True;False;2634964;28244
23503;17875;Y15-19;False;male;G;False;True;23503;34768
25198;17875;Y15-19;False;male;NAP;True;False;25198;6959
2260595;17875;Y45-49;True;male;N;True;False;2260595;37473
2261087;17875;Y45-49;True;male;O;True;False;2261087;37507
293073;53233;Y20-24;True;male;J;False;True;293073;34768
125161;53233;Y20-24;True;male;C;True;False;125161;37398
94856;53233;Y20-24;False;male;N;True;True;94856;4134
1282465;53233;Y35-39;False;male;I;True;False;1282465;17730
369268;81130;Y20-24;False;male;N;False;True;369268;34768
257139;81130;Y20-24;True;male;O;True;True;257139;37081
128017;81130;Y20-24;False;male;O;True;True;128017;24599
268414;81130;Y20-24;False;male;NAP;True;False;268414;32679
1329991;81130;Y35-39;True;male;M;True;False;1329991;42518
1333220;81130;Y35-39;True;male;P;True;False;1333220;47893
348299;99592;Y20-24;True;male;R;False;True;348299;34768
154579;99592;Y20-24;False;male;I;True;True;154579;48459
253595;99592;Y20-24;True;male;O;True;True;253595;37081
347377;100500;Y20-24;False;male;G;False;True;347377;34768
253124;100500;Y20-24;True;male;I;True;True;253124;48834
155867;100500;Y20-24;False;male;S;True;True;155867;16498
363343;100500;Y20-24;True;male;G;True;False;363343;4440
191462;120936;Y20-24;False;male;G;False;True;191462;34768
241712;120936;Y20-24;False;male;C;True;False;241712;6959
299498;120936;Y20-24;True;male;P;True;False;299498;6959
207185;129064;Y20-24;False;male;G;False;True;207185;34768
242147;129064;Y20-24;False;male;G;False;True;242147;27829
207475;129171;Y20-24;False;male;H;False;True;207475;34768
269868;129171;Y20-24;False;male;NAP;False;False;269868;16098
244448;143183;Y20-24;False;male;NAP;False;True;244448;34768
238462;143183;Y20-24;True;male;N;True;True;238462;48459
315849;143183;Y20-24;True;male;K;False;True;315849;15972
317432;143183;Y20-24;False;male;NAP;False;True;317432;15972
348158;177466;Y20-24;False;male;P;False;True;348158;34768
332652;177466;Y20-24;True;male;O;False;False;332652;4096
346830;177466;Y20-24;False;male;A;False;True;346830;44003
331305;177466;Y20-24;True;male;C;False;False;331305;17664
365314;177588;Y20-24;True;male;Q;False;True;365314;34768
331606;177588;Y20-24;True;male;F;True;False;331606;28349
383979;192574;Y25-29;False;male;NAP;False;True;383979;34768
565891;192574;Y25-29;False;male;I;False;True;565891;34768
528098;208334;Y25-29;False;male;NAP;False;True;528098;34768
403101;208334;Y25-29;False;male;NAP;True;False;403101;37593
402787;208334;Y25-29;False;male;NAP;True;True;402787;48459
572242;208334;Y25-29;True;male;O;True;True;572242;5222
412194;216448;Y25-29;True;male;E;False;True;412194;34768
779375;216448;Y25-29;False;male;N;True;False;779375;25911
458264;229595;Y25-29;False;male;O;False;True;458264;34768
429863;229595;Y25-29;False;male;L;False;True;429863;15972
505968;238644;Y25-29;False;male;S;False;True;505968;34768
444795;238644;Y25-29;False;male;M;True;True;444795;37081
465239;238644;Y25-29;False;male;N;False;True;465239;48852
469599;238644;Y25-29;True;male;I;False;True;469599;15972
618372;306050;Y25-29;False;male;G;False;True;618372;34768
561477;306050;Y25-29;True;male;C;False;True;561477;15972
576109;306050;Y25-29;True;male;R;True;True;576109;4477
562356;306811;Y25-29;False;male;H;False;True;562356;34768
676427;306811;Y25-29;False;male;M;True;False;676427;37593
676570;306811;Y25-29;False;male;N;False;False;676570;16098
620042;306811;Y25-29;False;male;Q;True;False;620042;38871
617962;307259;Y25-29;True;male;F;False;True;617962;34768
562923;307259;Y25-29;True;male;K;True;False;562923;32679
676669;307259;Y25-29;False;male;N;False;False;676669;17664
595831;311741;Y25-29;True;male;K;False;True;595831;34768
595670;311741;Y25-29;False;male;I;False;True;595670;34768
574480;311741;Y25-29;True;male;H;True;False;574480;28891
3602092;311741;Y65-69;False;female;NAP;True;True;3602092;19947
635776;338189;Y25-29;True;male;E;False;True;635776;34768
637979;338189;Y25-29;True;male;P;True;True;637979;48459
638411;339189;Y25-29;True;male;S;False;True;638411;34768
760877;339189;Y25-29;False;male;Q;False;False;760877;16098
726343;339189;Y25-29;False;male;NAP;True;True;726343;38152
267177;143004;Y20-24;True;male;N;True;False;267177;40255
317287;143004;Y20-24;False;male;NAP;True;True;317287;37081
361571;143004;Y20-24;False;male;F;True;True;361571;15441
238200;143004;Y20-24;True;male;K;True;True;238200;29382
269715;155791;Y20-24;False;male;NAP;True;False;269715;40255
276261;155791;Y20-24;False;male;F;True;False;276261;25882
362359;158618;Y20-24;True;male;N;True;False;362359;40255
362955;158618;Y20-24;False;male;S;True;True;362955;48459
276543;158618;Y20-24;False;male;I;False;True;276543;40149
565621;192593;Y25-29;False;male;G;True;False;565621;40255
734198;192593;Y25-29;False;male;C;True;True;734198;48459
383998;192593;Y25-29;False;male;NAP;False;True;383998;15972
464707;239864;Y25-29;True;male;I;True;False;464707;40255
503027;239864;Y25-29;False;male;K;True;False;503027;23145
447514;239864;Y25-29;True;male;P;True;True;447514;48780
468949;239864;Y25-29;True;male;G;True;False;468949;47811
516629;278975;Y25-29;False;male;A;True;False;516629;40255
2583889;278975;Y45-49;False;male;O;True;False;2583889;37048
2582559;278975;Y45-49;True;male;L;True;False;2582559;37601
2292069;278975;Y45-49;True;male;I;True;False;2292069;35942
2579480;278975;Y45-49;False;male;A;True;False;2579480;22587
2594999;278975;Y45-49;True;male;H;True;False;2594999;48122
570401;310657;Y25-29;False;male;G;True;False;570401;40255
572641;310657;Y25-29;True;male;P;False;False;572641;16098
690474;338558;Y25-29;True;male;I;True;False;690474;40255
636935;338558;Y25-29;True;male;I;False;True;636935;43041
636634;338558;Y25-29;True;male;H;False;True;636634;27829
690395;338558;Y25-29;True;male;I;False;True;690395;15972
10776;8454;Y15-19;True;male;F;True;False;10776;37593
2209337;8454;Y45-49;False;male;G;True;False;2209337;22935
2310497;8454;Y45-49;True;male;D;True;False;2310497;37048
17734;14021;Y15-19;False;male;NAP;True;False;17734;37593
64390;14021;Y15-19;False;male;C;True;False;64390;25911
40947;14021;Y15-19;True;male;E;True;False;40947;28891
64489;14021;Y15-19;False;male;F;True;False;64489;4821
92366;50806;Y20-24;False;male;C;True;False;92366;37593
92321;50806;Y20-24;True;male;A;False;True;92321;6105
294031;50806;Y20-24;True;male;O;False;False;294031;16098
234808;60734;Y20-24;True;male;J;True;False;234808;37593
102988;60734;Y20-24;True;male;N;False;True;102988;15972
103220;60734;Y20-24;False;male;P;False;True;103220;44003
326271;60734;Y20-24;True;male;N;True;True;326271;48834
127671;79802;Y20-24;False;male;NAP;True;False;127671;37593
319694;79802;Y20-24;False;male;NAP;False;True;319694;44003
126329;79802;Y20-24;True;male;I;False;True;126329;44003
127439;80685;Y20-24;False;male;NAP;True;False;127439;37593
1381643;80685;Y35-39;False;male;I;True;False;1381643;22963
1283523;80685;Y35-39;False;male;N;True;False;1283523;4147
1331236;80685;Y35-39;False;male;NAP;True;False;1331236;37443
3627073;80685;Y70-74;False;female;NAP;True;True;3627073;48300
137616;88580;Y20-24;True;male;O;True;False;137616;37593
277285;88580;Y20-24;False;male;NAP;True;False;277285;47763
150026;88580;Y20-24;False;male;NAP;True;False;150026;42212
299371;88580;Y20-24;True;male;O;False;False;299371;37000
207889;88580;Y20-24;False;male;I;True;True;207889;29881
151106;97134;Y20-24;False;male;NAP;True;False;151106;37593
339295;97134;Y20-24;False;male;A;False;True;339295;48852
339254;97134;Y20-24;True;male;A;False;True;339254;48852
309085;97134;Y20-24;True;male;C;True;True;309085;4134
311341;97134;Y20-24;False;male;I;True;False;311341;6959
150737;97134;Y20-24;False;male;NAP;True;True;150737;15441
340462;97134;Y20-24;False;male;Q;True;True;340462;5855
193298;121959;Y20-24;True;male;J;True;False;193298;37593
310459;122131;Y20-24;False;male;C;True;False;310459;37593
367519;122131;Y20-24;False;male;O;True;True;367519;37081
366126;122131;Y20-24;True;male;F;True;False;366126;25892
193516;122131;Y20-24;True;male;M;True;True;193516;4477
267306;142032;Y20-24;False;male;N;True;False;267306;37593
237091;142032;Y20-24;True;male;C;True;True;237091;37081
237005;142032;Y20-24;False;male;A;True;False;237005;19668
252842;148082;Y20-24;True;male;F;True;False;252842;37593
331355;148082;Y20-24;True;male;C;True;False;331355;25892
347947;148082;Y20-24;False;male;N;True;False;347947;6959
444243;236916;Y25-29;False;male;K;True;False;444243;37593
441474;236916;Y25-29;False;male;C;True;False;441474;25917
504539;237104;Y25-29;True;male;N;True;False;504539;37593
465491;237104;Y25-29;True;male;P;True;True;465491;37081
501794;237104;Y25-29;True;male;H;True;True;501794;37081
441791;237104;Y25-29;False;male;D;True;False;441791;4821
447882;237104;Y25-29;True;male;Q;True;False;447882;19668
467751;237953;Y25-29;False;male;A;True;False;467751;37593
499963;237953;Y25-29;False;male;C;True;True;499963;24599
443367;237953;Y25-29;False;male;I;True;False;443367;20484
503655;237953;Y25-29;True;male;M;False;True;503655;33792
458165;246668;Y25-29;False;male;N;True;False;458165;37593
586818;246668;Y25-29;False;male;C;False;False;586818;4096
505558;251755;Y25-29;False;male;R;True;False;505558;37593
503442;251755;Y25-29;False;male;M;False;False;503442;4096
468881;251755;Y25-29;True;male;G;True;False;468881;24304
503819;251755;Y25-29;True;male;M;False;False;503819;4725
570262;251755;Y25-29;True;male;G;True;False;570262;43233
465306;251755;Y25-29;False;male;N;True;False;465306;40091
599479;296924;Y25-29;False;male;F;True;False;599479;37593
759516;296924;Y25-29;True;male;M;False;True;759516;48852
547539;296924;Y25-29;False;male;J;False;True;547539;5863
734791;309064;Y25-29;False;male;H;True;False;734791;37593
587858;309064;Y25-29;False;male;NAP;False;True;587858;39909
565967;309064;Y25-29;False;male;I;True;False;565967;28160
